query_index,neighbor_index,similarity_score,group_label
94618,239949,0.9986025094985962,1
94618,240440,0.9969033598899841,1
94618,95039,0.9966883659362793,0
94618,240769,0.9962326288223267,1
94618,239803,0.9960556030273438,1
53996,54309,0.9982390403747559,0
53996,193880,0.9974170923233032,1
53996,57443,0.9971600770950317,0
53996,53309,0.9970386028289795,0
53996,53659,0.9969388246536255,0
298388,296959,0.9940048456192017,1
298388,302084,0.9937335848808289,1
298388,300992,0.9931709170341492,1
298388,297124,0.9925281405448914,1
298388,298078,0.9924106597900391,1
189179,187948,0.9991309642791748,1
189179,190396,0.998885989189148,1
189179,189034,0.9987623691558838,1
189179,187565,0.9984968900680542,1
189179,189392,0.9983330965042114,1
123958,114781,0.9835008978843689,0
123958,288268,0.9826058149337769,1
123958,126591,0.982498049736023,0
123958,136710,0.9818414449691772,0
123958,294686,0.9818168878555298,1
265342,239234,0.9957202672958374,1
265342,110346,0.9950144290924072,0
265342,112692,0.993150532245636,0
265342,244948,0.9927247166633606,1
265342,274779,0.991398811340332,1
170393,40630,0.991995096206665,0
170393,147589,0.9917023181915283,1
170393,63433,0.991445779800415,0
170393,17297,0.9912954568862915,0
170393,14124,0.9912906885147095,0
129937,121878,0.9958365559577942,0
129937,127511,0.9956124424934387,0
129937,119778,0.9951092600822449,0
129937,128276,0.9947596788406372,0
129937,132120,0.9944581985473633,0
224293,231391,0.9951128959655762,1
224293,54285,0.9944689273834229,0
224293,54090,0.9942985773086548,0
224293,53334,0.9936467409133911,0
224293,206888,0.9932599663734436,1
194349,192348,0.9922592043876648,1
194349,95755,0.9867750406265259,0
194349,203404,0.9859844446182251,1
194349,203801,0.9847738742828369,1
194349,51026,0.9841492176055908,0
2546,291173,0.9691585302352905,1
2546,127667,0.9670194387435913,0
2546,125099,0.9647736549377441,0
2546,121608,0.9643703699111938,0
2546,143351,0.9628238081932068,0
92132,90574,0.9961522817611694,0
92132,247849,0.9941772222518921,1
92132,228562,0.9934123754501343,1
92132,210735,0.99307781457901,1
92132,77453,0.9929633736610413,0
161582,161746,0.9945402145385742,1
161582,169891,0.994096040725708,1
161582,169397,0.9938377141952515,1
161582,68317,0.9935387969017029,0
161582,44807,0.993201732635498,0
206220,210310,0.9968157410621643,1
206220,204176,0.9960712194442749,1
206220,60903,0.9946839809417725,0
206220,79925,0.9946587681770325,0
206220,212742,0.9944199323654175,1
172110,37949,0.9896858930587769,0
172110,4692,0.989586353302002,0
172110,171873,0.9890521764755249,1
172110,185361,0.9878133535385132,1
172110,82285,0.9873067736625671,0
147881,36310,0.9978739023208618,0
147881,149808,0.9969516396522522,1
147881,32805,0.9969378709793091,0
147881,176177,0.9966632127761841,1
147881,148314,0.9965347647666931,1
